iter	Passed	Remaining
0	287	287454
1	291	145309
2	295	98098
3	301	75031
4	305	60737
5	308	51178
6	312	44400
7	315	39166
8	317	35001
9	319	31671
10	321	28933
11	323	26653
12	325	24721
13	329	23219
14	331	21778
15	333	20535
16	338	19572
17	343	18718
18	347	17943
19	352	17277
20	354	16508
21	355	15814
22	358	15214
23	359	14611
24	360	14054
25	361	13537
26	362	13057
27	363	12613
28	364	12199
29	365	11821
30	366	11460
31	367	11120
32	368	10803
33	369	10503
34	370	10222
35	372	9984
36	373	9733
37	375	9495
38	376	9269
39	377	9052
40	378	8847
41	379	8655
42	380	8470
43	381	8292
44	382	8121
45	383	7957
46	384	7800
47	387	7676
48	388	7535
49	389	7398
50	390	7265
51	391	7138
52	392	7014
53	393	6896
54	394	6781
55	395	6671
56	396	6564
57	397	6462
58	398	6361
59	400	6270
60	402	6190
61	403	6099
62	404	6011
63	405	5927
64	406	5844
65	407	5763
66	408	5685
67	409	5610
68	410	5536
69	411	5464
70	412	5394
71	413	5326
72	414	5260
73	416	5210
74	417	5149
75	418	5089
76	419	5029
77	420	4970
78	421	4913
79	422	4858
80	423	4805
81	424	4753
82	425	4696
83	426	4646
84	427	4597
85	428	4549
86	429	4503
87	430	4466
88	432	4427
89	433	4385
90	434	4344
91	436	4304
92	437	4265
93	438	4227
94	439	4189
95	440	4151
96	441	4113
97	442	4075
98	443	4038
99	444	4003
100	447	3979
101	448	3945
102	449	3911
103	450	3878
104	451	3845
105	452	3813
106	453	3782
107	454	3751
108	455	3721
109	456	3691
110	457	3661
111	458	3632
112	459	3603
113	460	3575
114	462	3556
115	463	3530
116	464	3501
117	465	3475
118	466	3450
119	467	3424
120	468	3401
121	469	3377
122	470	3353
123	471	3330
124	472	3306
125	473	3283
126	474	3259
127	476	3244
128	477	3225
129	478	3203
130	479	3182
131	480	3160
132	481	3139
133	482	3119
134	483	3100
135	484	3080
136	485	3060
137	486	3041
138	487	3021
139	488	3003
140	489	2984
141	491	2970
142	492	2952
143	493	2934
144	494	2916
145	495	2899
146	496	2882
147	497	2865
148	498	2848
149	499	2832
150	500	2815
151	501	2799
152	502	2783
153	503	2767
154	504	2751
155	507	2743
156	508	2728
157	509	2713
158	510	2698
159	511	2684
160	511	2667
161	512	2653
162	513	2639
163	514	2624
164	515	2610
165	516	2597
166	517	2583
167	518	2569
168	519	2556
169	522	2550
170	523	2538
171	524	2526
172	526	2515
173	527	2503
174	528	2492
175	529	2481
176	531	2469
177	531	2456
178	533	2444
179	534	2432
180	535	2420
181	537	2414
182	538	2403
183	539	2391
184	540	2380
185	541	2369
186	542	2357
187	543	2346
188	544	2336
189	545	2325
190	546	2314
191	547	2303
192	548	2293
193	549	2282
194	550	2272
195	552	2265
196	553	2255
197	554	2245
198	555	2235
199	556	2225
200	557	2215
201	558	2206
202	559	2198
203	561	2191
204	563	2183
205	564	2175
206	566	2171
207	568	2162
208	569	2153
209	570	2144
210	571	2135
211	571	2126
212	573	2118
213	574	2109
214	575	2100
215	576	2091
216	577	2083
217	578	2074
218	579	2065
219	580	2057
220	582	2052
221	583	2044
222	584	2035
223	585	2027
224	586	2019
225	587	2011
226	588	2003
227	589	1995
228	590	1987
229	591	1980
230	592	1972
231	593	1964
232	594	1956
233	595	1950
234	597	1945
235	598	1938
236	599	1930
237	600	1923
238	601	1915
239	602	1908
240	603	1901
241	604	1893
242	605	1886
243	606	1879
244	607	1872
245	608	1865
246	609	1858
247	611	1852
248	612	1848
249	614	1842
250	615	1836
251	616	1830
252	617	1823
253	618	1816
254	619	1810
255	620	1803
256	621	1797
257	622	1790
258	623	1784
259	624	1777
260	626	1775
261	628	1769
262	629	1764
263	630	1758
264	632	1753
265	633	1747
266	634	1742
267	635	1736
268	638	1734
269	639	1728
270	640	1723
271	643	1721
272	644	1716
273	645	1710
274	646	1705
275	648	1699
276	649	1695
277	650	1690
278	651	1684
279	652	1678
280	653	1672
281	654	1667
282	657	1666
283	659	1661
284	660	1656
285	661	1652
286	662	1647
287	664	1642
288	665	1637
289	667	1633
290	668	1627
291	669	1622
292	670	1617
293	673	1616
294	674	1612
295	676	1607
296	677	1603
297	679	1599
298	680	1595
299	681	1590
300	682	1585
301	683	1579
302	684	1574
303	685	1570
304	688	1568
305	689	1564
306	690	1559
307	691	1554
308	693	1550
309	694	1545
310	695	1540
311	696	1535
312	697	1530
313	698	1525
314	699	1520
315	700	1516
316	703	1514
317	704	1510
318	705	1505
319	706	1500
320	707	1496
321	711	1497
322	714	1497
323	719	1500
324	721	1497
325	722	1493
326	723	1489
327	724	1485
328	725	1480
329	726	1475
330	727	1471
331	728	1466
332	729	1462
333	732	1460
334	733	1455
335	734	1451
336	735	1446
337	736	1442
338	737	1437
339	738	1433
340	739	1428
341	740	1424
342	741	1420
343	742	1415
344	743	1411
345	744	1406
346	745	1402
347	747	1400
348	748	1396
349	749	1392
350	750	1387
351	751	1383
352	752	1379
353	753	1375
354	754	1371
355	755	1366
356	756	1362
357	757	1358
358	758	1354
359	759	1350
360	760	1346
361	762	1344
362	763	1340
363	764	1336
364	765	1332
365	766	1328
366	767	1324
367	769	1320
368	770	1316
369	771	1312
370	772	1308
371	773	1305
372	774	1301
373	775	1297
374	776	1294
375	778	1291
376	779	1287
377	780	1284
378	781	1280
379	782	1276
380	783	1272
381	784	1268
382	785	1265
383	786	1261
384	787	1258
385	788	1254
386	789	1250
387	790	1247
388	792	1245
389	793	1241
390	795	1238
391	796	1234
392	797	1230
393	798	1227
394	799	1223
395	800	1220
396	801	1216
397	802	1213
398	803	1209
399	804	1206
400	805	1202
401	806	1199
402	808	1197
403	809	1194
404	810	1191
405	812	1188
406	813	1184
407	814	1181
408	815	1178
409	816	1175
410	817	1171
411	818	1168
412	819	1164
413	820	1161
414	821	1158
415	823	1156
416	824	1153
417	825	1149
418	826	1146
419	827	1143
420	828	1139
421	829	1136
422	830	1133
423	831	1130
424	832	1126
425	833	1123
426	834	1120
427	835	1116
428	836	1114
429	838	1112
430	839	1108
431	840	1105
432	841	1102
433	842	1099
434	843	1096
435	845	1093
436	846	1090
437	847	1088
438	849	1085
439	850	1082
440	852	1080
441	854	1078
442	855	1075
443	856	1072
444	857	1068
445	858	1065
446	859	1062
447	860	1059
448	861	1056
449	862	1053
450	863	1050
451	864	1047
452	865	1044
453	866	1041
454	868	1040
455	869	1037
456	870	1034
457	871	1031
458	872	1028
459	873	1025
460	874	1022
461	875	1019
462	876	1016
463	877	1013
464	878	1010
465	879	1008
466	880	1005
467	881	1002
468	884	1000
469	885	998
470	886	995
471	887	992
472	888	989
473	889	986
474	890	983
475	891	981
476	893	979
477	894	976
478	895	973
479	896	970
480	897	968
481	899	966
482	900	964
483	901	961
484	903	959
485	904	956
486	905	954
487	906	951
488	907	948
489	908	946
490	910	943
491	910	940
492	911	937
493	914	936
494	915	933
495	916	931
496	917	928
497	918	925
498	919	923
499	920	920
500	921	917
501	922	915
502	923	912
503	924	909
504	925	907
505	926	904
506	928	903
507	930	900
508	931	898
509	932	895
510	933	892
511	934	890
512	935	887
513	936	885
514	937	882
515	938	879
516	939	877
517	940	874
518	941	872
519	942	869
520	944	868
521	945	865
522	946	863
523	947	860
524	948	858
525	949	855
526	950	853
527	951	850
528	952	848
529	953	845
530	954	843
531	955	840
532	956	838
533	957	835
534	959	834
535	960	831
536	961	829
537	962	826
538	963	824
539	964	821
540	966	819
541	967	817
542	968	814
543	969	812
544	970	809
545	971	807
546	972	805
547	974	803
548	975	801
549	976	798
550	977	796
551	978	794
552	979	791
553	980	789
554	981	787
555	982	784
556	983	782
557	984	779
558	985	777
559	986	775
560	987	772
561	990	771
562	991	769
563	992	767
564	993	765
565	995	763
566	996	760
567	997	758
568	998	756
569	999	754
570	1000	751
571	1001	749
572	1002	747
573	1005	745
574	1006	743
575	1007	741
576	1008	739
577	1009	736
578	1010	734
579	1011	732
580	1012	729
581	1013	727
582	1014	725
583	1015	723
584	1016	720
585	1017	718
586	1018	716
587	1020	714
588	1021	712
589	1022	710
590	1023	708
591	1024	705
592	1025	703
593	1026	701
594	1027	699
595	1028	697
596	1029	694
597	1030	692
598	1031	690
599	1032	688
600	1033	686
601	1035	684
602	1036	682
603	1037	680
604	1038	678
605	1039	675
606	1040	673
607	1041	671
608	1042	669
609	1043	667
610	1044	664
611	1045	662
612	1046	660
613	1047	658
614	1049	657
615	1051	655
616	1052	653
617	1053	650
618	1054	648
619	1055	646
620	1056	644
621	1057	642
622	1058	640
623	1059	638
624	1060	636
625	1061	633
626	1062	631
627	1063	629
628	1065	628
629	1066	626
630	1067	624
631	1068	622
632	1069	620
633	1070	618
634	1071	615
635	1072	613
636	1073	611
637	1074	609
638	1075	607
639	1076	605
640	1077	603
641	1080	602
642	1081	600
643	1082	598
644	1083	596
645	1084	594
646	1085	592
647	1087	590
648	1088	588
649	1089	586
650	1091	584
651	1092	583
652	1093	581
653	1095	579
654	1097	577
655	1098	575
656	1099	574
657	1101	572
658	1102	570
659	1103	568
660	1104	566
661	1105	564
662	1106	562
663	1108	560
664	1110	559
665	1111	557
666	1112	555
667	1113	553
668	1114	551
669	1114	549
670	1115	547
671	1117	545
672	1118	543
673	1119	541
